User-ID,Location,Age
4179,"fairbanks, alaska, usa",18.0
4197,"anchorage, alaska, usa",61.0
4221,"n/a, connecticut, usa",32.0
4228,"austin, texas, usa",41.0
4285,"adrian, michigan, usa",50.0
4334,"rome, lazio, italy",38.0
4385,"albq, new mexico, usa",33.0
4401,"boston, massachusetts, usa",28.0
4570,"santa monica, california, usa",40.0
4571,"melbourne, victoria, australia",23.0
4600,"little rock, arkansas, usa",32.0
4622,"norfolk, virginia, usa",18.0
4785,"litchfield, connecticut, usa",30.0
4795,"rochester, new york, usa",18.0
4802,"london, england, united kingdom",28.0
4896,"ploiesti, prahova, romania",18.0
4938,"charleston, south carolina, usa",30.0
5037,"dodge center, minnesota, usa",26.0
5127,"castelnovo monti (re), emilia romagna, italy",33.0
5207,"indianapolis, indiana, usa",34.0
5209,"medford, new jersey, usa",48.0
5285,"atascadero, california, usa",38.0
5286,"dallas, texas, usa",18.0
5287,"ottawa, ontario, canada",22.0
5331,"hull, england, united kingdom",26.0
5350,"köln, nordrhein-westfalen, germany",20.0
5375,"placerville, california, usa",47.0
5385,"loomis, california, usa",30.0
5429,"sacramento, california, usa",51.0
5439,"houston, texas, usa",66.0
5448,"pine bush, new york, usa",14.0
5452,"reseda, california, usa",26.0
5476,"chester, ,",32.0
5483,"bayan lepas, penang, malaysia",20.0
5499,"lakeland, tennessee,",60.0
5539,"austin, texas, usa",32.0
5543,"cumberland, maryland, usa",29.0
5555,"perigny, poitou-charentes, france",32.0
5582,"seattle, washington, usa",26.0
5600,"dallas, texas, usa",32.0
5609,"oradea, bihor, romania",25.0
5638,"binghamton, new york, usa",32.0
5665,"orlando, florida, usa",40.0
5669,"chicago, illinois, usa",32.0
5674,"jackson, new jersey, usa",15.0
5694,"lake forest, california, usa",43.0
5709,"bayan lepas, penang, malaysia",15.0
5728,"cullowhee, north carolina, usa",22.0
5730,"ottawa, ontario, canada",20.0
5741,"redlands, california, usa",20.0
5746,"los angeles, california, usa",32.0
5769,"christchurch, canterbury,",25.0
5815,"rockville, maryland, usa",32.0
5899,"ulm, baden-wuerttemberg, germany",25.0
5903,"vienna, vienna, austria",25.0
5920,"albany, oregon, usa",35.0
5956,"indianapolis, indiana, usa",27.0
5963,"san diego, california, usa",38.0
5975,"manchester, new hampshire, usa",32.0
5998,"seattle, washington, usa",32.0
6007,"ajax, ontario, canada",32.0
6011,"sterling heights, michigan, usa",15.0
6051,"austin, texas, usa",33.0
6073,"houston, texas, usa",28.0
6092,"weybridge, surrey, united kingdom",32.0
6115,"kerrville, texas, usa",32.0
6120,"elizabethtown, kentucky, usa",36.0
6229,"navarre, florida, usa",38.0
6238,"silsden, keighley, west yorkshire, united kingdom",38.0
6242,"calgary, alberta, canada",32.0
6251,"wahiawa, hawaii, usa",32.0
6280,"a coruña, , spain",46.0
6318,"ann arbor, michigan, usa",24.0
6323,"wilmington, north carolina, usa",35.0
6330,"letchworth garden city, england,",37.0
6333,"san jose, california, usa",45.0
6345,"lake geneva, wisconsin, usa",29.0
6366,"madrid, madrid, spain",20.0
6398,"dallas, texas, usa",20.0
6401,"aloha, oregon, usa",32.0
6431,"wylie, texas, usa",30.0
6432,"burnaby, british columbia, canada",21.0
6460,"grand forks, british columbia, canada",32.0
6492,"edmonton, alberta, canada",35.0
6505,"topeka, kansas, usa",56.0
6532,"new westminster, british columbia, canada",32.0
6537,"norfolk, ,",28.0
6543,"strafford, missouri, usa",34.0
6563,"burien, washington, usa",31.0
6564,"lisboa, estremadura, portugal",37.0
6566,"port angeles, washington, usa",32.0
6575,"seattle, washington, usa",32.0
6577,"coral springs, florida, usa",62.0
6582,"solon, ohio, usa",35.0
6592,"brooks, alberta, canada",37.0
6604,"vallejo, california, usa",48.0
6611,"oradea, n/a, romania",22.0
6642,"springfield, missouri, usa",34.0
6662,"toronto, ontario, canada",31.0
6671,"altoona, wisconsin, usa",54.0
6703,"cadiz, andalucia, spain",24.0
6731,"buford, georgia, usa",29.0
6772,"calgary, ,",32.0
6781,"hopewell, virginia, usa",22.0
6789,"boise, idaho, usa",32.0
6865,"north richland hills, texas, usa",40.0
6866,"paris, ile de france, france",51.0
6871,"raleigh, north carolina, usa",28.0
6894,"colorado springs, colorado, usa",20.0
6900,"sunnyvale, california, usa",25.0
6906,"cedar rapids, iowa, usa",63.0
6958,"durham, north carolina, usa",32.0
6990,"omaha, nebraska, usa",29.0
7056,"pickering, ontario, canada",31.0
7060,"wild rose, wisconsin, usa",16.0
7082,"carlisle, pennsylvania, usa",32.0
7105,"chertsey, england, united kingdom",32.0
7125,"apo, ae, usa",28.0
7128,"apo, ae, usa",8.0
7134,"bothell, washington, usa",23.0
7158,"omaha, nebraska, usa",30.0
7181,"oviedo, asturias, spain",24.0
7210,"rothesay, new brunswick, canada",32.0
7283,"saint marys, georgia, usa",30.0
7286,"pasco, washington, usa",28.0
7312,"walnut ridge, arkansas, usa",23.0
7318,"muskegon, michigan, usa",34.0
7326,"st. louis, missouri, usa",44.0
7341,"half moon bay, california, usa",32.0
7346,"sunnyvale, california, usa",49.0
7348,"edmonton, alberta, canada",24.0
7352,"houston, texas, usa",53.0
7371,"winnipeg, manitoba, canada",26.0
7384,"miami, florida, usa",28.0
7394,"soest, nrw, germany",32.0
7426,"la, california, usa",32.0
7454,"toronto, ontario, canada",29.0
7482,"macarthur, west virginia, usa",49.0
7569,"tulsa, , usa",22.0
7620,"knoxville, tennessee, usa",21.0
7630,"lincoln, nebraska, usa",49.0
7637,"tavistock, ontario, canada",28.0
7809,"seattle, washington, usa",32.0
7841,"salt lake city, utah, usa",32.0
7860,"northfield, massachusetts, usa",32.0
7864,"klang, selangor, malaysia",17.0
7882,"milwaukee, wisconsin, usa",34.0
7886,"kansas city, missouri, usa",27.0
7887,"altoona, pennsylvania, usa",23.0
7890,"newport coast, california, usa",32.0
7898,"washington, dc, usa",20.0
7913,"mission hills, california, usa",43.0
7915,"st. paul, minnesota, usa",32.0
7930,"vancouver, british columbia, canada",32.0
7954,"rockford, michigan, usa",32.0
7958,"oeiras, lisbon, portugal",27.0
7962,"albuquerque, new mexico, usa",54.0
7980,"cambridge, massachusetts, usa",34.0
8019,"toronto, ontario, canada",32.0
8034,"amsterdam, noord-holland, netherlands",31.0
8040,"raleigh, north carolina, usa",32.0
8066,"chicago, illinois, usa",32.0
8067,"owings mills, maryland, usa",26.0
8094,"ourense, ourense, spain",13.0
8095,"peterborough, ontario, canada",22.0
8141,"claremont, california, usa",32.0
8167,"cambridge, ,",39.0
8187,"bend, oregon, usa",32.0
8201,"clawson, michigan, usa",37.0
8234,"colorado springs, colorado, usa",44.0
8245,"torrance, california, usa",31.0
8250,"carrollton, texas, usa",34.0
8253,"tulsa, oklahoma, usa",26.0
8255,"savage, minnesota, usa",47.0
8284,"manchester, kentucky, usa",28.0
8290,"shrewsbury, massachusetts, usa",32.0
8313,"warrenville, illinois, usa",36.0
8314,"newark, california, usa",36.0
8323,"roy, utah, usa",48.0
8362,"los angeles, california, usa",28.0
8454,"auburndale, massachusetts, usa",32.0
8487,"carrollton, texas, usa",30.0
8529,"logroño, la rioja, spain",32.0
8537,"richmond, british columbia, canada",43.0
8570,"rochester, new york, usa",23.0
8584,"watertown, massachusetts, usa",32.0
8660,"innsbruck, tirol, austria",25.0
8672,"manassas, virginia, usa",17.0
8676,"manhattan, kansas, usa",32.0
8680,"st. charles county, missouri, usa",2.0
8681,"orlando, florida, usa",34.0
8687,"bucharest, n/a, romania",28.0
8695,"redding, california, usa",32.0
8734,"chula vista, california, usa",32.0
8782,"calgary, alberta, canada",239.0
8801,"san francisco, california, usa",24.0
8839,"toronto, ontario, canada",32.0
8844,"san diego, california, usa",32.0
8864,"st petersburg, florida, usa",26.0
8870,"austin, texas, usa",45.0
8872,"athens, georgia, usa",65.0
8890,"paris, ile-de-france, france",47.0
8935,"little elm, texas, usa",35.0
8936,"elizabeth city, north carolina, usa",18.0
8937,"murphysboro, ,",37.0
8955,"bayside, new york, usa",42.0
8961,"dekalb, illinois, usa",28.0
8971,"berlin, berlin, germany",27.0
9029,"gavà, barcelona, spain",32.0
9094,"albuquerque, new mexico, usa",14.0
9138,"darien, connecticut, usa",32.0
9139,"mt. pleasant, michigan, usa",17.0
9141,"durango, colorado, usa",65.0
9143,"madrid, madrid, spain",47.0
9177,"leicester, leicestershire, united kingdom",26.0
9188,"washougal, washington, usa",32.0
9224,"woodbridge, suffolk, united kingdom",32.0
9226,"kapolei, hawaii, usa",27.0
9227,"glendora, california, usa",24.0
9289,"kelseyville, california, usa",32.0
9313,"lisboa, n/a, portugal",32.0
9341,"hamburg, ,",33.0
9354,"albuquerque, new mexico, usa",30.0
9357,"quechee, vermont, usa",32.0
9373,"banks, alabama, usa",40.0
9381,"bagshot, surrey, united kingdom",32.0
9408,"waipahu, hawaii, usa",34.0
9414,"ipswich, suffolk, united kingdom",37.0
9417,"whitby, ontario, canada",26.0
9440,"indianapolis, indiana, usa",21.0
9454,"reno, nevada, usa",32.0
9504,"saint charles, missouri, usa",32.0
9525,"woodbridge, new jersey, usa",15.0
9532,"highland, california, usa",32.0
9568,"wichita, kansas, usa",44.0
9571,"reinbek, schleswig-holstein, germany",27.0
9574,"lansing, michigan, usa",33.0
9613,"collings lakes, new jersey, usa",34.0
9660,"albuquerque, new mexico, usa",35.0
9718,"brooklyn, new york, usa",35.0
9747,"o`fallon, missouri, usa",32.0
9856,"glendale, colorado, usa",22.0
9867,"pearland, texas, usa",32.0
9893,"beaverton, oregon, usa",50.0
9908,"woodstock, georgia, usa",36.0
9974,"san diego, california, usa",32.0
10001,"mesa, arizona, usa",47.0
10030,"pittsburgh, pennsylvania, usa",66.0
10067,"watton, norfolk, england",61.0
10118,"minneapolis, minnesota, usa",44.0
10199,"eltham, victoria, australia",17.0
10241,"avon, massachusetts, usa",27.0
10314,"beaverton, oregon, usa",32.0
10315,"calgary, alberta, canada",18.0
10334,"bedford, new hampshire, usa",32.0
10351,"seattle, washington, usa",15.0
10354,"martinsburg, west virginia, usa",15.0
10447,"chicago, illinois, usa",32.0
10502,"sheridan, wyoming, usa",32.0
10512,"terang, victoria, australia",35.0
10532,"shipley, west yorkshire, united kingdom",29.0
10546,"wendlingen, baden-wuerttemberg, germany",28.0
10560,"chicago, illinois, usa",27.0
10570,"singapore, n/a, singapore",32.0
10590,"shah alam, selangor, malaysia",22.0
10607,"plattsburgh, new york, usa",60.0
10619,"douglas, alaska, usa",33.0
10660,"luzern, luzern, switzerland",37.0
10668,"boise, idaho, usa",32.0
10681,"xxxxxx, xxxxxx, netherlands",32.0
10697,"lexington, kentucky, usa",20.0
10699,"victoria, british columbia, canada",32.0
10716,"troy, michigan, usa",54.0
10813,"washington, missouri, usa",45.0
10819,"richmond, kentucky, usa",27.0
10829,"oshkosh, wisconsin, usa",38.0
10836,"brooklyn, new york, usa",32.0
10917,"london, england, united kingdom",32.0
10924,"silver lake, missouri, usa",20.0
10946,"ajax, ontario, canada",32.0
10949,"columbia, tennessee, usa",32.0
10951,"cape canaveral, florida, usa",62.0
10965,"uppsala, uppland, sweden",22.0
10985,"southampton, england, united kingdom",38.0
11038,"sherman oaks, california, usa",32.0
11120,"kerava, uusimaa, finland",58.0
11179,"davidson, north carolina, usa",32.0
11192,"worms, rheinland-pfalz, germany",49.0
11201,"groningen, groningen, netherlands",30.0
11224,"tumwater, washington, usa",51.0
11245,"scarborough, ontario, canada",32.0
11260,"vineland, new jersey, usa",37.0
11279,"kingston, ontario, canada",29.0
11285,"kamloops, british columbia, canada",32.0
11362,"brighton, ontario, canada",32.0
11393,"mississauga, ontario, canada",73.0
11399,"brisbane, ,",32.0
11400,"ottawa, ontario, canada",49.0
11451,"millersville, maryland, usa",32.0
11456,"fort thomas, kentucky, usa",32.0
11464,"calgary, alberta, canada",16.0
11517,"onley, virginia, usa",57.0
11521,"st. louis, missouri, usa",24.0
11529,"richmond, california, usa",32.0
11532,"taneytown, maryland, usa",32.0
11590,"st. peters, missouri, usa",32.0
11601,"brooklyn, new york, usa",32.0
11621,"gatineau, quebec, canada",40.0
11629,"houston, texas, usa",21.0
11638,"seattle, washington, usa",32.0
11639,"hampton, new brunswick, canada",32.0
11657,"cincinnati, ohio, usa",25.0
11676,"n/a, n/a, n/a",32.0
11687,"orillia, ontario, canada",47.0
11690,"landau, rheinland-pfalz, germany",30.0
11708,"auburn, ,",32.0
11709,"davison, michigan, usa",29.0
11718,"reno, nevada, usa",32.0
11724,"west lawn, pennsylvania, usa",42.0
11788,"jenks, oklahoma, usa",30.0
11797,"houston, texas, usa",32.0
11817,"jacksonville, florida, usa",32.0
11832,"juneau, alaska, usa",32.0
11916,"brooklyn, new york, usa",32.0
11944,"santo tirso, porto, portugal",21.0
11993,"lakewood, colorado, usa",37.0
12035,"rockford, illinois, usa",39.0
12100,"quezon city, national capital region, philippines",26.0
12111,"plainfield, illinois, usa",40.0
12112,"austin, texas, usa",40.0
12122,"cooks hill, new south wales, australia",26.0
12123,"portage, michigan, usa",32.0
12137,"north vancouver, british columbia, canada",32.0
12143,"pleasant hill, california, usa",51.0
12154,"pittsburgh, pennsylvania, usa",41.0
12189,"ourense, galicia, spain",24.0
12194,"redford, michigan, usa",32.0
12209,"poughkeepsie, new york, usa",18.0
12238,"oklahoma city, oklahoma, usa",31.0
12272,"ploiesti, prahova, romania",18.0
12282,"greenwood, indiana, usa",23.0
12331,"athens, n/a, greece",31.0
12362,"dallas, texas, usa",54.0
12390,"fredericksburg, virginia, usa",27.0
12488,"nashua, ,",32.0
12512,"deventer, overijssel, netherlands",34.0
12515,"redwood city, california, usa",32.0
12537,"byron, minnesota,",32.0
12538,"byron, minnesota, usa",18.0
12569,"selangor, subang jaya, malaysia",22.0
12619,"parksville, british columbia, canada",56.0
12657,"bremen, bremen, germany",48.0
12680,"washington, dc, usa",20.0
12685,"charlotte, north carolina, usa",32.0
12692,"jacksonville, florida, usa",151.0
12698,"portland, oregon, usa",32.0
12702,"valley stream, new york, usa",31.0
12707,"edmonton, alberta, canada",37.0
12734,"san jose, california, usa",57.0
12756,"san jose, california, usa",32.0
12784,"detroit, michigan, usa",57.0
12811,"teaneck, new jersey, usa",32.0
12824,"long beach, california, usa",18.0
12828,"nuneaton, england, united kingdom",32.0
12835,"hamburg, hamburg, germany",38.0
12863,"london, england, united kingdom",29.0
12917,"moore, oklahoma, usa",24.0
12945,"kitchener, ontario, canada",30.0
12951,"raleigh, north carolina, usa",35.0
12982,"getxo, vizcaya, spain",41.0
12990,"denver, colorado, usa",58.0
13032,"wachenheim, rheinland-pfalz, germany",32.0
13057,"mason, ohio, usa",47.0
13060,"victoria, british columbia, canada",29.0
13080,"edmonton, alberta, canada",22.0
13082,"bellwood, pennsylvania, usa",32.0
13093,"zaragoza, aragon, spain",29.0
13094,"schenectady, new york, usa",24.0
13104,"marysville, washington, usa",25.0
13126,"mumbai, maharashtra, india",21.0
13141,"brighton, england, united kingdom",26.0
13164,"scottsburg, indiana, usa",33.0
13173,"norfolk, virginia, usa",55.0
13221,"iqaluit, nunavut, canada",45.0
13256,"malden, massachusetts, usa",38.0
13273,"harrisburg, pennsylvania, usa",201.0
13279,"moodus, connecticut, usa",32.0
13280,"lakewood, colorado, usa",65.0
13331,"champaign, illinois, usa",58.0
13347,"vigo, vigo pontevedra, spain",49.0
13393,"kettering, ohio, usa",32.0
13518,"fishers, indiana, usa",27.0
13540,"doha, doha, qatar",15.0
13551,"raleigh, north carolina, usa",32.0
13552,"cordova, tennessee, usa",32.0
13582,"lisboa, lisboa, portugal",29.0
13600,"athens, athens, greece",32.0
13604,"charlotte, north carolina, usa",51.0
13607,"clayton, north carolina, usa",31.0
13664,"escondido, california, usa",32.0
13666,"tinley park, illinois, usa",54.0
13682,"monroe, louisiana, usa",31.0
13709,"tucson, arizona, usa",32.0
13733,"elmira, new york, usa",32.0
13850,"online, n/a, usa",28.0
13872,"barcelona, catalunya, spain",17.0
13915,"arnprior, ontario, canada",32.0
13935,"lancaster, pennsylvania, usa",36.0
13968,"oceanside, california, usa",32.0
13973,"las vegas, nevada, usa",18.0
13995,"adelaide, south australia, australia",32.0
14014,"palatine, illinois, usa",37.0
14049,"burnaby, british columbia, canada",32.0
14079,"valencia, valencia, spain",41.0
14173,"calgary, alberta, canada",32.0
14180,"new york, new york, usa",32.0
14201,"houston, texas, usa",44.0
14230,"charlotte, north carolina, usa",30.0
14232,"paris, paris, france",23.0
14249,"clearwater, florida, usa",22.0
14254,"centreville, nova scotia, canada",43.0
14271,"las vegas, nevada, usa",32.0
14281,"sebastopol, california, usa",32.0
14283,"bishops stortford, england, united kingdom",18.0
14326,"austin, texas, usa",32.0
14336,"manchester, new hampshire, usa",28.0
14357,"wine country, oregon, usa",45.0
14374,"porter, maine, usa",57.0
14387,"coalville, leicestershire, england, united kingdom",35.0
14393,"vienna, ,",32.0
14422,"apple valley, minnesota, usa",32.0
14433,"gambrills, maryland, usa",57.0
14449,"saskatoon, saskatchewan, canada",72.0
14451,"lisboa, lisboa, portugal",26.0
14456,"edmonton, alberta, canada",27.0
14461,"aachen, nordrhein-westfalen, germany",31.0
14517,"guelph, ontario, canada",23.0
14521,"providence, rhode island, usa",32.0
14527,"manhattan, kansas, usa",24.0
14573,"newburgh, new york, usa",19.0
14599,"carbuna, ialoveni, moldova",24.0
14638,"roquemaure, languedoc roussillon, france",33.0
14667,"rocky mount, missouri, usa",32.0
14683,"london, ontario, canada",30.0
14691,"las vegas, nevada, usa",30.0
14698,"upstate, new york, usa",32.0
14744,"corry, pennsylvania, usa",27.0
14768,"corvallis, oregon, usa",24.0
14808,"madison, wisconsin, usa",41.0
14849,"toronto, ontario, canada",32.0
14888,"marietta, georgia, usa",53.0
14897,"shiki, saitama, japan",24.0
14958,"lezo, euskadi, spain",39.0
14966,"waltham, massachusetts, usa",32.0
14998,"canton, georgia, usa",25.0
15021,"lake mary, florida, usa",37.0
15040,"setúbal, setúbal, portugal",29.0
15046,"sydney, nova scotia, canada",25.0
15049,"benbrook, texas, usa",28.0
15076,"gallatin, missouri, usa",23.0
15081,"dunedin, florida, usa",25.0
15093,"davis, california, usa",21.0
15135,"shreveport, louisiana, usa",33.0
15144,"raleigh, ,",32.0
15185,"santander, cantabria, spain",20.0
15208,"woodside, new york, usa",32.0
15213,"minneapolis, minnesota, usa",23.0
15276,"amherst, massachusetts, usa",32.0
15361,"bristol, pennsylvania, usa",39.0
15367,"houston, texas, usa",32.0
15408,"cary, north carolina, usa",34.0
15418,"vitoria, álava, spain",23.0
15497,"fresno, california, usa",38.0
15563,"vancouver, british columbia, canada",33.0
15589,"paris, n/a, france",32.0
15602,"cherry hill, new jersey, usa",21.0
15651,"springfield, missouri, usa",23.0
15654,"dallas, texas, usa",29.0
15670,"round rock, texas, usa",32.0
15686,"ottawa, ontario, canada",32.0
15819,"grapevine, texas, usa",32.0
15822,"lloydminster, saskatchewan, canada",61.0
15841,"melbourne, victoria, australia",32.0
15845,"bowling green, ohio, usa",32.0
15918,"cardiff, wales, united kingdom",23.0
15936,"chicago, illinois, usa",59.0
15945,"charlotte, north carolina, usa",36.0
15957,"sydney, new south wales, australia",27.0
15964,"chicago, illinois, usa",26.0
16005,"chicago, illinois, usa",30.0
16009,"stratford, new jersey, usa",25.0
16010,"carlinville, illinois, usa",32.0
16034,"atlanta, georgia, usa",32.0
16036,"crestview, florida, usa",32.0
16046,"silver springs, florida, usa",32.0
16086,"isle of wight, england, united kingdom",39.0
16090,"kennett square, pennsylvania, usa",32.0
16106,"albany, california, usa",44.0
16110,"winter haven, florida, usa",35.0
16121,"tarrytown, new york, usa",37.0
16130,"hercules, california, usa",34.0
16155,"kuala lumpur, , malaysia",47.0
16161,"cobram, victoria, australia",28.0
16192,"somersworth, new hampshire, usa",32.0
16220,"milano, lombardia, italy",30.0
16231,"kanata, ontario, canada",32.0
16237,"kingman, arizona, usa",48.0
16244,"toronto, ,",32.0
16246,"kitakyushu, fukuoka, japan",32.0
16263,"ashland, wisconsin, usa",32.0
16319,"keith, south australia, australia",43.0
16383,"sheffield, england, united kingdom",24.0
16413,"austin, texas, usa",32.0
16417,"austin, texas, usa",32.0
16418,"austin, texas, usa",37.0
16452,"delta, british columbia, canada",32.0
16488,"milwaukee, wisconsin, usa",36.0
16504,"kuching, sarawak, malaysia",28.0
16510,"louisville, kentucky, usa",28.0
16532,"hollywood, florida, usa",44.0
16545,"berkeley, california, usa",32.0
16551,"aurora, colorado, usa",32.0
16599,"roselle, illinois, usa",33.0
16601,"brewster, new york, usa",40.0
16634,"little rock, arkansas, usa",42.0
16654,"málaga, andalucia, spain",35.0
16666,"rogersville, tennessee, usa",32.0
16673,"cadiz, cadiz, spain",30.0
16695,"o`fallon, missouri, usa",42.0
16708,"gorokan, new south wales, australia",34.0
16713,"abbotsford, british columbia, canada",32.0
16718,"houston, texas, usa",29.0
